uid,title,num,crn,section,hours,times,faculty,location,limit,enrolled,available,info,description,subj,subject,subj_code,cat_term,credit_hours
202610AFST12586,"Introduction to African and African American Studies",150,12586,A,4,"TR 1100-1215,  ","E Riley","Gailor Hall 132",26,19,"Available: 7","General Education: G4: Exploring Past and Present<br><br>Reserved Seats: new first-year students - 8 (none available); Consent of professor required for late entry","An introduction to how historical and contemporary analyses of cultural, political, and social forces in America, the Atlantic world (Europe, Latin America, and the Caribbean), and Africa have influenced the experiences of people of color. To illuminate those life experiences, the course employs the concept of race (as a theoretical, historical, and critical category), historiography, social analysis, and cultural critique.",AFST,"African and African American Studies",INGS,202610,"4 hours"
202610AFST12587,"Blackness in American Popular Culture",210,12587,A,4,"TR 1330-1445,  ","C Peterson","Walsh-Ellett Hall 204",26,6,"Available: 20","Consent of professor required for late entry","This course interrogates representations of blackness in American popular culture. Using an interdisciplinary lens that considers the social, political, cultural, and historical realities that inform popular culture, students investigate how blackness is constructed and its implications.",AFST,"African and African American Studies",INGS,202610,"4 hours"
202610AFST12725,"Spill the Tea: Black Politics of Storytelling and Secret Keeping",387,12725,A,4,"TR 1500-1615,  ","B Threatt","Gailor Hall 019",15,2,"Available: 13","General Education: G7: Encountering Perspectives,GMWI: Major Writing Intensive<br><br>Prerequisites: One course in English with attribute GFWI; Consent of professor required for late entry","The course examines perceptions of truth, history, and humanity by looking at official historical records alongside narrative such as gossip, secrets, and hearsay. This comparative study will open challenging conversations about authoritative history and power by surveying the slave and neo-slave genres alongside the critical texts of scholars such as Zora Neale Hurston and Saidiya Hartman. In doing so, students will develop an ethic of engaging difficult histories and violent transatlantic archives. By surveying the shaping of narrative from the 19th to the 21st century, students will tune their ears to hear the silences of Black stories and the erasures of master narratives.",ENGL,"African and African American Studies",INGS,202610,"4 hours"
202610AFST12686,"World Literature in English",399,12686,A,4,"TR 1100-1215,  ","D Ettensohn","Gailor Hall 103",20,11,"Available: 9","Prerequisites: One course in English with attribute GFWI; Consent of professor required for late entry","A study of twentieth-century literature written in English from Africa, South Asia, and the Caribbean, concentrating on colonial and post-colonial themes, as well as issues of gender, politics, and nationalism.  Possible authors include Chinua Achebe, Wole Soyinka, Nadine Gordimer, J. M. Coetzee, Salman Rushdie, Arundhati Roy, V. S. Naipaul, and Derek Walcott.",ENGL,"African and African American Studies",INGS,202610,"4 hours"
202610AFST12281,"Southern African History",215,12281,A,4,"TR 0930-1045,  ","R Levine","Walsh-Ellett Hall 310",22,15,"Available: 7","Reserved Seats: new first-year students - 2 (none available); Consent of professor required for late entry","This course encompasses both the established history of the southern African region c. 1500-2004 and recent historiographical developments. As a result of this dual focus, the course highlights the production of southern African history, considering how, for whom, and why that history has been written. Topics include: the environment in history; the creation and interactions of racial groups; the mineral revolution and capitalist development; white domination, segregation, and apartheid; and political and popular resistance to these oppressive racial regimes. The course ends with the transition to majority rule, the role of the Truth and Reconciliation Commission, and the democratic future of South Africa.",HIST,"African and African American Studies",INGS,202610,"4 hours"
202610AFST12711,"From Hip-Hop to Tik-Tok: The Evolution of Hip-Hop Culture and Politics",282,12711,A,4,"TR 1500-1615,  ","A Donaldson","Walsh-Ellett Hall 206",26,26,"Closed // Waitlist: 0","General Education: G4: Exploring Past and Present<br><br>Consent of professor required for late entry","Hip-hop emerged from the local scenes of New York City to become the most popular and lucrative art form in the world. This course offers a historical analysis of Hip-Hop and an exploration of its regional contributions, social and political implications, musicality, and presence on social media platforms, namely Instagram and Tik-Tok. This course will also examine Hip-Hop themes related to race, gender, and class. Overall, this course will help explain how an obscure art form emerged from urban communities to become the global musical language for the seemingly dispossessed—and now a staple of mainstream pop culture.",HIST,"African and African American Studies",INGS,202610,"4 hours"
202610AFST12287,"The Past Is Not Past: Recognizing & Reckoning with Contemporary Manifestations of Historical Traumas",333,12287,A,4,"TR 1500-1615,  ","W Register","Gailor Hall 225",22,11,"Available: 11","General Education: G4: Exploring Past and Present<br><br>Consent of professor required for late entry; For a detailed description of this Special Topics Course: <a href=""https://registrar.sewanee.edu/students/topics/""> https://registrar.sewanee.edu/students/topics</a>","A seminar dealing with important political, social, and intellectual movements in American history.",HIST,"African and African American Studies",INGS,202610,"4 hours"
202610AFST12291,"Five Centuries of Atlantic Slavery, 1400-1900",410,12291,A,4,"W 1400-1630,  ","M Mitchell","Walsh-Ellett Hall 308",15,8,"Available: 7","Prerequisites: One course with attribute G4 including AP or IB credit; Consent of professor required for late entry","An examination of the history of the practices of human slavery in the Atlantic World. Topics include the conduct of the transatlantic trade, the Middle Passage experience, plantation systems in North America, the West Indies, and Brazil, the role of Atlantic slavery in the transition to industrialism, slave resistance and revolt, and the abolitionist movements.",HIST,"African and African American Studies",INGS,202610,"4 hours"
202610AFST12319,"Youth Cultures in Urban Africa",201,12319,A,4,"MW 1400-1515,  ","E Asiedu-Acquah","Carnegie Hall 320",26,12,"Available: 14","General Education: G4: Exploring Past and Present<br><br>Reserved Seats: new first-year students - 6 (none available); Consent of professor required for late entry","This course focuses on how African urban youth have confronted the challenges of life and the forces of globalization, through examination of local and global socio-political, cultural and linguistic patterns in major African cities. It interrogates the social practices that characterize African urban youth culture, questioning how these practices and youth identities contrast with those socially-ascribed within local cultural frameworks. The course draws reading material from contemporary literature on youth culture, globalization, and social change in Africa. It also uses African films to showcase the opportunities and challenges brought about by the globalization of youth culture in Africa.",INGS,"African and African American Studies",INGS,202610,"4 hours"
202610AFST12513,"Move on up a Little Higher: The History of Gospel Music",143,12513,A,4,"MW 1400-1515,  ","K Wright","Guerry Hall 131",22,19,"Available: 3","General Education: G2: Understanding the Arts<br><br>Reserved Seats: new first-year students - 6 (none available); Consent of professor required for late entry","African American Gospel music represents a unique and powerful tradition of American music and culture.  This course begins with the foundations of Gospel music as represented in African American spirituals and blues along with its religious roots in the Great Awakenings and the later Pentecostal movement.  Subsequent topics include the post-Civil War Jubilee choral style, Gospel's ""golden age"" of 1945-55, the advent of black-run radio programs, record companies, and a performance circuit for Gospel singers.  Gospel music from 1960 to the present is examined bio-chronologically, discussing important songwriters, singers, and the music's significant stylistic changes.  As a useful overture to study students may pursue in upper-level music courses, this course also introduces terminology required for musical analysis, including mode, meter, and form.",MUSC,"African and African American Studies",INGS,202610,"4 hours"
