uid,title,num,crn,section,hours,times,faculty,location,limit,enrolled,available,info,description,subj,subject,subj_code,cat_term,credit_hours
202530ART95068,"Introduction to Three- and Four-Dimensional Media",104,95068,A,4,"MW 1400-1700,  ","G Pond","Wiggins Hall 122",15,2,"Available: 13","General Education: G2: Understanding the Arts<br><br>Prerequisites: Instructor prerequisite override required; Studio Art Fee-Pond: $275",,ART,Art,ART,202530,"4 hours"
202530BIOL95070,"Field Investigations in Biology",130,95070,A,4,"TR 1400-1700,  ","M Schrader","Spencer Hall 151",16,6,"Available: 10","General Education: G5E: Observing-Experimenting-Modeling (Experimental/Experiential)","A study of ecology, evolution and biological diversity, with an emphasis on scientific investigations in the natural areas in and around the university.  The course, which is scheduled for one afternoon each week, meets the general education requirement for a natural science course but does not fulfill the requirement for a laboratory science course.",BIOL,Biology,BIOL,202530,"4 hours"
202530BIOL95071,"Introductory Molecular Biology and Genetics",133,95071,A,4,"MTWRF 1000-1115,  ","K Rodriguez","J. Albert Woods Laboratories 324",26,3,"Available: 23","General Education: G5: Observing-Experimenting-Modeling","This course is an introductory study of the molecular and cellular basis of life, of the structure and function of cells, and of molecular genetics.  Biol 130 is not a prerequisite.  Non-laboratory course.",BIOL,Biology,BIOL,202530,"4 hours"
202530BIOL95106,"Island Ecology (Lab)",240,95106,A,8,"TBA ,  ","K Zigler",TBA,10,10,Closed,"General Education: G5E: Observing-Experimenting-Modeling (Experimental/Experiential),GMWI: Major Writing Intensive<br><br>Lab Science; Prerequisites: Only open to students who have completed ENST 140 and been admitted to the Island Ecology program","This interdisciplinary field course combines the study of geology, oceanography, marine biology, botany, and wildlife behavior in a single coastal island ecosystem.",ESCI,Biology,BIOL,202530,"8 hours"
202530BUSI95072,"Fundamentals of Financial Accounting",215,95072,A,4,"MTWRF 0830-0945,  ","E Zinn","Walsh-Ellett Hall 308",20,7,"Available: 13",,"The instructional objective is to provide students with an understanding of the concepts that are fundamental to the use of accounting. Students will focus on the accounting cycle and the preparation of financial statements, including balance sheets, income statements, and statements of cash flows, as well as on the use of financial ratios. A decision-making approach is employed which involves critical evaluation and analysis of information presented. Analytical tools are integrated throughout the course",BUSI,Business,BUSI,202530,"4 hours"
202530BUSI95115,"Fundamentals of Managerial Accounting",216,95115,A,4,"MTWRF 1000-1115,  ","E Zinn","Walsh-Ellett Hall 308",20,4,"Available: 16","Prerequisite:  BUSI 215 ","The course focuses on the internal use of accounting information in the formulation of management decisions. Students learn how financial systems can add value to a company. Different costing systems, budgetary planning, and incremental analysis are among the course contents.",BUSI,Business,BUSI,202530,"4 hours"
202530BUSI95099,"Dynamics of International Business II",351,95099,A,2,"TBA ,  ","M Elledge",TBA,12,11,"Available: 1","Prerequisites: BUSI 350; open only to students admitted to the Dynamics of International Business Program","This course examines business trends and business structures in emerging markets located in the region of focus through field applications of cross-cultural travel and business interviews. This field applications course discusses the evolution of conglomerate enterprises and business networks through first-hand study and consultation with business and government leaders. It introduces students to examples of corporate organization and management of these enterprises, and elaborates how these structures impact the success of companies from the region of study. The course will examine the policies and case examples of new start-up business development and entrepreneurship, and how economies in the region are adapting structures to shape an innovation economy. The faculty-led travel /study-away course will also explore business practices in the countries of study, providing students with a first-hand understanding of business culture, protocol, and business customs.",BUSI,Business,BUSI,202530,"2 hours"
202530BUSI95078,"Real Estate Investing. Finance, and Taxation",385,95078,A,4,"MTWRF 1130-1245,  ","E Zinn","Walsh-Ellett Hall 308",20,5,"Available: 15","For a detailed description of this Special Topics Course: <a href=""https://registrar.sewanee.edu/students/topics/""> https://registrar.sewanee.edu/students/topics</a>","A selection of topics are explored depending on interest. This course may be repeated once for credit when the topic differs.",BUSI,Business,BUSI,202530,"4 hours"
202530CLST95074,"Classics in Cinema",150,95074,A,4,"MTWRF 0830-0945,  ","C McDonough","Snowden Hall 109",26,5,"Available: 21","General Education: G2: Understanding the Arts,G6GK: Comprehending Cross-Culturally (Greek Culture),G6LT: Comprehending Cross-Culturally (Latin Culture)","The course focuses on portrayals of Greek and Roman culture in film, with readings from classical and later literature in translation as well as criticism.",CLST,"Classical Studies",CLST,202530,"4 hours"
202530CEL95078,"Real Estate Investing. Finance, and Taxation",385,95078,A,4,"MTWRF 1130-1245,  ","E Zinn","Walsh-Ellett Hall 308",20,5,"Available: 15","For a detailed description of this Special Topics Course: <a href=""https://registrar.sewanee.edu/students/topics/""> https://registrar.sewanee.edu/students/topics</a>","A selection of topics are explored depending on interest. This course may be repeated once for credit when the topic differs.",BUSI,"Community Engaged Learning",CEL,202530,"4 hours"
202530ECON95121,"Special Topics in International Economics",385,95121,A,4,"TBA ,  ","K Theyson",TBA,12,1,"Available: 11","Prerequisites: (ECON 101 and ECON102) or ECON 120","A selection of topics are explored depending on interest. This course may be repeated for credit when the topic differs.",ECON,Economics,ECON,202530,"4 hours"
202530ENGL95095,"Literature and Composition",101,95095,A,4,"MTWRF 1130-1245,  ","A Bruce","Walsh-Ellett Hall 204",15,5,"Available: 10","General Education: G1: Reading Closely,GFWI: Foundational Writing Intensive","This writing-intensive introduction to literature written in English may include a selection of formal verse, fiction, drama, and at least one play by Shakespeare. The course is designed to develop the student’s imaginative understanding of literature along with the ability to write and speak with greater clarity. It is intended to be of interest to students at any level of preparation.",ENGL,English,ENGL,202530,"4 hours"
202530ENGL95075,"Studies in Speculative Fiction",227,95075,A,4,"MTWRF 1000-1115,  ","K Malone","Gailor Hall 019",18,4,"Available: 14","General Education: G7: Encountering Perspectives<br><br>Prerequisites: One course with attribute G1 including AP or IB credit","Speculative fiction is a genre that asks “what if,” allowing us to imagine alternative social arrangements while holding up a mirror to our own assumptions about culture and human identity. The nationality and time period of speculative fiction examined in this course may vary based on the instructor. In different semesters, this class may focus on such topics as the origin and development of science fiction, featuring such writers as Mary Shelley and H.G. Wells; climate speculative fiction (Richard Powers), feminist speculative fiction (Margaret Atwood, Ursula K. Le Guin), or Afrofuturism (Octavia Butler, N.K. Jemisin).",ENGL,English,ENGL,202530,"4 hours"
