id,title,num,crn,section,hours,times,faculty,location,limit,enrolled,available,info,description,subj,subject,subj_code,cat_term,credit_hours
202620AFST16041,"African-American Literature",395,16041,A,4,"TR 1330-1445,  ","B Threatt",TBA,20,8,"Available: 12","Prerequisites: One course in English with attribute GFWI","A study of the major traditions of African-American writing from the nineteenth century to the present, including Frederick Douglass, Linda Brent, Zora Neale Hurston, Langston Hughes, Richard Wright, Ralph Ellison, Ernest Gaines, Toni Morrison, and Rita Dove.",ENGL,"African and African American Studies",INGS,202620,"4 hours"
202620AFST16070,"Tropical Forest Ecology and Management",212,16070,A,4,"MWF 1200-1250,  ","T Harris",TBA,26,26,"Closed // Waitlist: 5","General Education: G5: Observing-Experimenting-Modeling<br><br>Reserved Seats: new first-year students - 8 (none available)","An introduction to the ecology and management of forests and natural resources in the tropical biome. Social and technical aspects of forestry and natural resource management are considered. Topics include tropical forest ecology, techniques of forest and natural resource management, land tenure, the use of plants as pharmaceuticals, agroforestry, trees in traditional management systems, the forest as habitat, and the role of western environmental assistance in tropical countries.",FORS,"African and African American Studies",INGS,202620,"4 hours"
202620AFST15946,"African-American History since 1865",232,15946,A,4,"TR 1330-1445,  ","A Donaldson",TBA,26,24,"Available: 2 Reserved // Waitlist: 1","General Education: G4: Exploring Past and Present,G7: Encountering Perspectives<br><br>Reserved Seats: new first-year students - 10 (2 available)","A survey of the major topics and issues in African-American history from 1865 to the present: the era of emancipation, the turn-of-the-century nadir of race relations, black participation in both world wars, the Harlem Renaissance, the Civil Rights Movement, and various dimensions of contemporary black life. The course will also explore some of the historiographical themes that have catalyzed current scholarship and will analyze diverse theories about the black experience in America.",HIST,"African and African American Studies",INGS,202620,"4 hours"
202620AFST15952,"Black Power to Black Lives Matter",318,15952,A,4,"M 1400-1630,  ","A Donaldson",TBA,15,11,"Available: 4","Prerequisites: One course with attribute G4 including AP or IB credit","This American History course covers the Black Power Movement’s history from its origins in the late 1960s and early 1970s through the current Black Lives Matter era. Together we review how the Black Power Movement empowered individuals and groups to protest police brutality, advance criminal justice reform, advocate for self-defense, promote Black collective interests, advance Black values, create Black institutions, and secure Black autonomy.",HIST,"African and African American Studies",INGS,202620,"4 hours"
202620AFST16136,"Globalization and Culture in Africa",108,16136,A,4,"MWF 1200-1250,  ","E Asiedu-Acquah",TBA,26,26,"Closed // Waitlist: 0","General Education: G4: Exploring Past and Present<br><br>Reserved Seats: new first-year students - 10 (none available)","The course introduces students to the concepts of “culture” and “globalization” with an emphasis on exploring how cultural practices are shaped by border-crossing and other forms of cross-cultural exchange. Specifically, the context of Africa allows the examination of shared characteristics of globalization through colonization and other historical developments. The majority of the course then explores the cultural hybridity and heterogeneity that result from this process and continue to inform cultural practice in the contemporary period. Africa as a geographic region provides insight into the complexity of “globalization” outcomes that depend upon the diverse economic, social, cultural, and historical contexts in which cross-cultural exchange occurs.",INGS,"African and African American Studies",INGS,202620,"4 hours"
202620AFST16280,"American Voting Behavior",405,16280,A,4,"TR 1100-1215,  ","C Peterson",TBA,15,12,"Available: 3","General Education: GMWI: Major Writing Intensive","This course exposes students to essential theories on American voting behavior developed by leading political scientists. At the end of the course, students will be equipped to contribute competently to academic discussions on the topic.",POLS,"African and African American Studies",INGS,202620,"4 hours"
202620AFST16216,"Psychology of Human Diversity",280,16216,A,4,"TR 1100-1215,  ","L Mendez",TBA,26,26,"Closed // Waitlist: 4","General Education: G7: Encountering Perspectives<br><br>Open only to first-year students and sophomores; Reserved Seats: new first-year students - 13 (none available)","This course offers a psychological exploration of human diversity, with a primary focus on minority groups in the U.S. Students examine a wide range of psychological topics within a cultural context, including gender, age, sexual orientation, ethnicity, disability, social class, personality, intelligence, health, intergroup relations, and intercultural communication. The course also introduces cross-cultural research methods that enable diverse perspectives to shape psychological theory and practice. Students develop a nuanced appreciation of how diversity impacts various aspects of life, including research, service delivery, workplace dynamics, and personal relationships.",PSYC,"African and African American Studies",INGS,202620,"4 hours"
202620AFST16114,"Hip Hop Theatre",302,16114,A,4,"W 1400-1630,  ","D Cooper",TBA,15,15,"Closed // Waitlist: 0","General Education: G2: Understanding the Arts,G7: Encountering Perspectives","This course offers an opportunity for students to explore in depth a variety of specialized topics in theatre performance theory and techniques.  Advanced, new, or experimental techniques in performance will be emphasized in this course.",THTR,"African and African American Studies",INGS,202620,"4 hours"
202620AMST15874,"Junior Seminar",333,15874,A,4,"W 1400-1630,  ","S O'Rourke",TBA,12,7,"Available: 5",,"Reading and discussion of significant texts from various disciplines including important theoretical analyses of American cultural and intellectual life.",AMST,"American Studies",HIST,202620,"4 hours"
202620AMST16039,"American Literature from 1850-1900",378,16039,A,4,"TR 1100-1215,  ","J Grammer",TBA,20,20,"Closed // Waitlist: 0","Prerequisites: One course in English with attribute GFWI","Like Abraham Lincoln’s announcement of “a new birth of freedom” in the Gettysburg Address, the American literature covered in English 378 struggles to articulate, then problematize, American freedom in the era surrounding the Civil War and emancipation.  What is freedom?  To whom does it extend?  What are its blessings and its costs?  Nobody has ever thought more profoundly about these issues than the American writers who emerged before, during, and after the war America fought with itself:  Nathaniel Hawthorne, Herman Melville, Harriet Jacobs, Emily Dickinson, Mark Twain, Henry James, Charles Chesnutt, Charlotte Perkins Gilman, and others.",ENGL,"American Studies",HIST,202620,"4 hours"
